술,용량,알코올,특징,제조사
안동소주 제비원,375 mL,41%,"국내산 쌀을 원료로 흑국 발효(검은 누룩) 등의 전통 소주 제조 방법에 현대식 설비를 통한 장기 숙성, 냉동 여과 공법을 적용해 안동소주 고유의 향미를 그대로 담았다.
또 상압 증류의 화려하고 진한 풍미와 감압 증류의 은은하고 싱그러운 풍미를 조화롭게 살려낸 것이 특징이다.",금복주
시원블루,360 mL,16.50%,"헬시플레저 트렌드에 발맞춘 무가당 소주
최고급 식물성 원료 토마틴 첨가
5중 水처리 정제수 사용",대선주조
대선,360 mL,16.50%,"과당, 소금 아미노산 등 무첨가
기존 제품 보다 낮은 칼로리
식물성 원료 토마틴 첨가",대선주조
시원,360 mL,19%,"부산의 상징 'C1소주'
식물성 토마틴 첨가
아스파라진, 아르지닌 첨가",대선주조
좋은데이,360 mL,16.50%,"72시간 산소숙성 부드러운 맛
깔끔한 과당제로 A37소주
히말라야핑크솔트로감칠맛UP
100ml당90kcal로부담없이",무학
화이트,360 mL,19%,"최첨단R/O정제수사용
72시간 산소숙성 부드러운 맛
필수 아미노산 3종 첨가",무학
청춘소주,360 mL,16.90%,"가벼운 과당제로 소주  10회 여과로 순도가 높은 소주 본연의
맛 구현
-귀여운레트로디자인",무학
보해소주,375 mL,16.80%,보해소주의 가장 큰 특징은 소금을 넣었다는 것입니다. 수억 년 전 태초의 바다로부터 온 히말라야 핑크솔트와 안데스산맥 호수 소금 그리고 남해바다 신안 토판염까지 세계 3대 소금을 더했습니다. 바다로부터 얻은 가장 자연스러운 소금으로 소주의 쓴맛과 알코올 향을 잡았습니다. 게다가 용량을 기존 녹색병 소주보다 15ml를 늘려 더욱 넉넉하게 즐기실 수 있습니다.,보해양주
잎새주,360 mL,16.50%,"잎새주는 100% 자연에서 추출한 감미료만을 사용했습니다. 잎새주는 당과 나트륨, MSG를 넣지 않은 소주입니다. 지하 253M 방울샘 천연암반수로 빚은 잎새주. 일반 수돗물을 걸러서 만든 소주와는 비교할 수 없을 만큼 그 맛이 싱그럽습니다.",보해양주
여수밤바다,360 mL,16.50%,"2019년 출시된 여수밤바다는 관광명소인 여수를 위해 제작한 특화제품으로 여수를 상징하는 돌산대교와 반짝이는 별빛을 이미지화 시킨 아름다운 소주 라벨이 특징입니다. 2022년 7월에는 웹툰작가 기안84와 협업하여 리뉴얼 제품을 출시했습니다. “여수밤바다 아트홀”이라는 콘셉트로, 제품 라벨을 캔버스로 활용해 작가의 작품을 전시하며 많은 소비자들에게 꾸준한 사랑을 받고 있습니다.",보해양주
천년애,360 mL,17.20%,천년애는 소주 특유의 알코올 향과 쓴맛을 줄이면서도 소주의 좋은 맛은 남겼습니다.,보해양주
한라산 17,375 mL,17%,,한라산
한라산 21,375 mL,21%,,한라산
